中国🇨🇳湾湾,#genre#
iHOT-爱怀旧,http://127.0.0.1:35456/itv/6000000006000260630.m3u8?cdn=wasusyt
iHOT-爱经典,http://127.0.0.1:35456/itv/6000000006000060630.m3u8?cdn=wasusyt
iHOT-爱科幻,http://127.0.0.1:35456/itv/6000000006000020630.m3u8?cdn=wasusyt
iHOT-爱科学,http://127.0.0.1:35456/itv/6000000006000160630.m3u8?cdn=wasusyt
iHOT-爱历史,http://127.0.0.1:35456/itv/6000000006000150630.m3u8?cdn=wasusyt
iHOT-爱旅行,http://127.0.0.1:35456/itv/6000000006000250630.m3u8?cdn=wasusyt
iHOT-爱青春,http://127.0.0.1:35456/itv/6000000006000100630.m3u8?cdn=wasusyt
iHOT-爱赛车,http://127.0.0.1:35456/itv/6000000006000240630.m3u8?cdn=wasusyt
iHOT-爱体育,http://127.0.0.1:35456/itv/6000000006000290630.m3u8?cdn=wasusyt
iHOT-爱喜剧,http://127.0.0.1:35456/itv/6000000006000010630.m3u8?cdn=wasusyt
iHOT-爱悬疑,http://127.0.0.1:35456/itv/6000000006000050630.m3u8?cdn=wasusyt
iHOT-爱院线,http://127.0.0.1:35456/itv/6000000006000030630.m3u8?cdn=wasusyt
数字🇨??频道,#genre#
NewTV-家庭剧场,http://127.0.0.1:35456/itv/1000000004000008284.m3u8?cdn=ystenlive

4K🇨🇳8K,#genre#
cctv4k,http://127.0.0.1:35456/gaoma/cctv4k_10m.m3u8$高码-10m
cctv4k,http://127.0.0.1:35456/gaoma/cctv4k.m3u8$高码
cctv8k,http://127.0.0.1:35456/gaoma/cctv8k_36m.m3u8$高码-36m
cctv16_4k,http://127.0.0.1:35456/gaoma/cctv4k16_10m.m3u8$高码-10m
cctv16_4k,http://127.0.0.1:35456/gaoma/cctv4k16.m3u8$高码
cctv16_4k,http://127.0.0.1:35456/itv/5000000008000023254.m3u8?cdn=bestzb$itv-HEVC
SiTV-欢笑剧场-4K,http://127.0.0.1:35456/itv/5000000007000010001.m3u8?cdn=bestzb$itv
华数-4K,http://127.0.0.1:35456/itv/6000000003000004748.m3u8?cdn=wasusyt$itv
纯享-4K,http://127.0.0.1:35456/itv/1000000004000011651.m3u8?cdn=ystenlive$itv
Fashion 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8$slive
咪咕8K_6,http://127.0.0.1:35456/PLTV/88888888/224/3221236432/1.m3u8
央视🇨🇳频道,#genre#
CCTV1,http://127.0.0.1:35456/gaoma/cctv1.m3u8$高码
CCTV1,http://127.0.0.1:35456/itv/5000000004000002226.m3u8?cdn=bestzb$50FPS
CCTV1,http://127.0.0.1:35456/itv/1000000005000265001.m3u8?cdn=ystenlive$HEVC
CCTV1,http://127.0.0.1:35456/itv/6000000001000029752.m3u8?cdn=wasusyt
CCTV2,http://127.0.0.1:35456/gaoma/cctv2.m3u8$高码
CCTV2,http://127.0.0.1:35456/itv/6000000001000014161.m3u8?cdn=wasusyt$itv-50-FPS
CCTV2,http://127.0.0.1:35456/itv/1000000001000023315.m3u8?cdn=ystenlive$itv-HEVC
CCTV2,http://127.0.0.1:35456/itv/1000000001000023315.m3u8?cdn=ystenlive$itv
CCTV3,http://127.0.0.1:35456/gaoma/cctv3.m3u8$高码
CCTV3,http://127.0.0.1:35456/itv/6000000001000022313.m3u8?cdn=wasusyt$itv
